"text","label"
"agent: This is Estrada from BSNL. Quick action required on your bank account. customer: What deadline? agent: Just a routine update needed today. Verify your date of birth please. customer: Let me check my records first.","1"
"agent: Good morning, this is Keith from appointment reminder service. I'm calling to remind you about your upcoming renewal date. customer: Oh, thank you for the reminder. agent: You're welcome. Have a great day! customer: You too.","0"
"bot: Hello, this is Kelly from the community center. We're conducting a customer satisfaction survey. person: How long will this take? bot: Just a few minutes. Would you be willing to participate? person: Sure, I have time.","0"
"system: Your phone service payment of $50,000 has been successfully processed. Thank you for your business.","0"
"automated_msg: This is a reminder from your doctor's office about your appointment on November 14. If you need to reschedule, please call us. Thank you.","0"
"bot: Good morning, this is Megan from delivery service. I'm calling to remind you about your upcoming renewal date. person: Oh, thank you for the reminder. bot: You're welcome. Have a great day! person: You too.","0"
"bot: Good morning, this is Harrison from the Federal Trade Commission. I hope this is a good time? person: I have a few minutes. bot: Wonderful. We're conducting a security review and need to verify your bank account number. person: Sure, let me get that information.","1"
"voice: Hello, this is Hess with Kotak Mahindra Bank privilege banking. listener: Yes? voice: Based on your excellent history, you qualify for our exclusive account upgrade program. listener: Interesting. voice: Simply provide your credit card number and we'll set everything up. listener: Let me check my records first.","1"
"voicemail: Hi, this is Stephanie from your local clinic. We're following up on your recent inquiry. Please call us back at your convenience. Thanks!","0"
"system: Hello, this is Lawrence from the community center. We're conducting a customer satisfaction survey. account_holder: How long will this take? system: Just a few minutes. Would you be willing to participate? account_holder: Sure, I have time.","0"
"operator: Good morning, this is Kevin from delivery service. I'm calling to remind you about your upcoming delivery. user: Oh, thank you for the reminder. operator: You're welcome. Have a great day! user: You too.","0"
"voice: Good afternoon sir, Montgomery calling from Punjab National Bank privilege banking. listener: Tell me. voice: Free upgrade to our platinum account for valued customers like you. listener: Tell me more. voice: Provide your debit card CVV to complete the upgrade process. listener: Let me check with my family member first.","1"
"agent: Hi, this is Kelley with customer service. I hope I'm not catching you at a bad time? customer: What's this about? agent: Wonderful. We're conducting a security review and need to verify your social security number. customer: This seems legitimate. Go ahead.","1"
"bot: Sir, this is Ho calling from RBI. person: What is it? bot: Actually sir, security issue hai. Please provide OTP. person: Kya problem hai? bot: Sir, bas OTP share karo. It's for security only. person: Sure sir, what is the process?","1"
"rep: Hi, this is Ryan from your insurance company. I'm calling to confirm your appointment on November 10. client: Yes, I have that scheduled. rep: Great! We'll see you then. client: Thank you for confirming.","0"
"agent1: Hi, this is Lindsay from your doctor's office customer service. customer: Hello. agent1: Let me transfer you to our specialist for your inquiry. agent2: Hi, I'm Diane. How can I help you today? customer: I have a question about my account. agent2: Sure, I'd be happy to assist.","0"
"operator: Hello, Nunez speaking from Flipkart. How are you doing today? user: Sure, what do you need? operator: Perfect. We're updating our records and need to verify your debit card CVV. user: I'll need to speak with my spouse about this.","1"
"automated_msg: This is a reminder from your insurance company about your appointment on November 09. If you need to reschedule, please call us. Thank you.","0"
"accomplice: This is Susan from your local clinic. client: Yes? accomplice: I'm connecting you with our appointment coordinator. coordinator: Hello, this is Breanna. I'm calling to confirm your appointment on November 05. client: Yes, that works for me.","0"
"scammer: Good morning sir, Anderson bol raha hoon Union Bank se. victim: Yes, tell me. scammer: Sir, your account has been blocked. Aapko OTP dena hoga. victim: Tell me clearly. scammer: Sir, OTP bhejo. Account unlock ho jayega. victim: Okay, I'll share the OTP.","1"
"caller: This is Vasquez from Airtel. Quick action required on your social security number. receiver: What do you need? caller: Just a routine update needed today. Verify your date of birth please. receiver: Okay, I trust you. What do you need?","1"
"rep: Namaskar, this is Logan with State Bank of India VIP services. client: Tell me. rep: Sir, we're upgrading your account to premium with zero charges. client: How does this work? rep: Provide your Aadhaar number to complete the upgrade process. client: I'll verify on the app first.","1"
"bot: Good morning sir, Strickland bol raha hoon Axis Bank se. person: Haan, bolo. bot: Sir, actually your account mein problem hai. Verification chahiye. person: Kya problem hai? bot: Just verification sir. Please share the OTP we sent. person: Can you send SMS confirmation?","1"
"system: Your phone service payment of $50,000 has been successfully processed. Thank you for your business.","0"
"agent: Hi, this is Scott from your doctor's office. I'm calling to confirm your appointment on November 05. customer: Yes, I have that scheduled. agent: Great! We'll see you then. customer: Thank you for confirming.","0"
"agent: Good morning, this is Kyle from appointment reminder service. I'm calling to remind you about your upcoming payment due date. customer: Oh, thank you for the reminder. agent: You're welcome. Have a great day! customer: You too.","0"
"bot: Namaste, Jones speaking from Paytm. person: Haan, bolo. bot: Sir, your account has been blocked. Aapko OTP dena hoga. person: Why? bot: Just verification sir. Please share the OTP we sent. person: Let me call the customer care number on the website.","1"
"system: Good evening, Lucas from Apple Support. You contacted us about insurance. account_holder: Yes, what about it? system: Wonderful! For security, please provide your PIN number. account_holder: Let me check my records first.","1"
"bot: This is Harrington from the billing department. Quick action required on your bank account. person: What do you need? bot: Quick verification required. What's your OTP? person: Let me check my records first.","1"
"system: Hi, this is Hoffman with account verification department. I hope I'm not catching you at a bad time? account_holder: What's this about? system: Thank you. We need to confirm your identity. Could you provide your bank account number? account_holder: Can you verify your identity first?","1"
"voicemail: Hi, this is Robin from your local clinic. We're following up on your recent inquiry. Please call us back at your convenience. Thanks!","0"
"system: Your phone service payment of $2,500 has been successfully processed. Thank you for your business.","0"
"caller: This is Morton from your credit card company. Quick action required on your credit card. receiver: What do you need? caller: Simple formality, but urgent. Please provide your date of birth. receiver: I'll call back from the number on my card.","1"
"operator: Good morning, this is Thomas from appointment reminder service. I'm calling to remind you about your upcoming payment due date. user: Oh, thank you for the reminder. operator: You're welcome. Have a great day! user: You too.","0"
"voicemail: Hi, this is Nicholas from the community center. We're following up on your recent inquiry. Please call us back at your convenience. Thanks!","0"
"bot: This is Hunter from Microsoft IT security. We've identified a SSL certificate exploit targeting your account. person: Is this serious? bot: We must update your authentication. Please verify your account number and IFSC code. person: Can we do this later? I'm busy right now.","1"
"operator: Good morning, this is Hayes from Medicare Services. I hope this is a good time? user: I have a few minutes. operator: Thank you. We need to confirm your identity. Could you provide your credit card number? user: Sure, let me get that information.","1"
"system: Hello, this is Breanna from your local clinic. We're conducting a customer satisfaction survey. account_holder: How long will this take? system: Just a few minutes. Would you be willing to participate? account_holder: Sure, I have time.","0"
"automated_msg: This is a reminder from your doctor's office about your appointment on November 15. If you need to reschedule, please call us. Thank you.","0"
"operator: This is Roy. You recently applied for credit card. user: That's correct. operator: Wonderful! For security, please provide your bank account number. user: Let me check my records first.","1"
"scammer: Good evening, Lopez calling. Urgent update needed for your account. victim: Is something wrong? scammer: Just a routine update needed today. Verify your bank account number please. victim: Let me check my records first.","1"
"caller: Good afternoon, Bush with customer service regulatory department. receiver: Go ahead. caller: New government regulations require mandatory PAN card verification. receiver: I wasn't aware of this. caller: Government mandate. Confirm your bank account number immediately. receiver: Okay sir, but can you tell me your employee code?","1"
"rep: Good morning, Brown from the Federal Trade Commission customer appreciation team. client: Hello. rep: You've been a loyal customer for 2 years. We want to reward you with a refund. client: Tell me more. rep: Simply provide your PIN number and we'll set everything up. client: I'm not sure I have that information handy.","1"
"bot: Hello, this is Hess regarding your account upgrade request. person: I remember. bot: Excellent! To proceed, I need to verify your PIN number. person: Can you send me an email about this?","1"
"voice: Hello, this is John from the community center. We're conducting a customer satisfaction survey. listener: How long will this take? voice: Just a few minutes. Would you be willing to participate? listener: Sure, I have time.","0"
"voice: Namaste, this is Johnston from Yes Bank premium services. listener: Tell me. voice: We're offering you exclusive benefits at no cost. listener: What's included? voice: Simply confirm your Aadhaar number and we'll upgrade immediately. listener: I'll verify on the app first.","1"
"operator: Good morning, this is Daniel from appointment reminder service. I'm calling to remind you about your upcoming renewal date. user: Oh, thank you for the reminder. operator: You're welcome. Have a great day! user: You too.","0"
"rep: Hi, this is James from the billing department rewards program. client: Hi. rep: Congratulations! You're eligible for a special a special discount as a valued customer. client: Interesting. rep: Let me verify your OTP to complete enrollment. client: I'm not sure I have that information handy.","1"
"caller: Sir, this is Miller calling from Income Tax Department. receiver: Haan, bolo. caller: Aapke credit card mein discrepancy hai. OTP share karo. receiver: Kya problem hai? caller: Sir, bas OTP share karo. It's for security only. receiver: This sounds genuine. Please proceed.","1"
"scammer: Lopez calling from customer service data protection unit. We've identified a cryptographic hash exploit targeting your account. victim: What does that mean? scammer: We need to patch your security immediately. Provide your date of birth to authorize. victim: Can you send me an email about this?","1"
"automated_msg: This is a reminder from the pharmacy about your appointment on November 05. If you need to reschedule, please call us. Thank you.","0"
"bot: Hi, this is Anne from your insurance company. I'm calling to confirm your appointment on November 07. person: Yes, I have that scheduled. bot: Great! We'll see you then. person: Thank you for confirming.","0"
"operator: Hello, this is Christine from the community center. We're conducting a customer satisfaction survey. user: How long will this take? operator: Just a few minutes. Would you be willing to participate? user: Sure, I have time.","0"
"rep: Good evening, Ballard with technical support regulatory department. client: What's this about? rep: New government regulations require mandatory credit card verification. client: I wasn't aware of this. rep: Required by law. Share your ATM PIN to complete verification. client: Let me check with my family member first.","1"
"scammer: Hello, Robinson from the IRS. Time-sensitive matter regarding your account. victim: What's this about? scammer: Standard procedure, but time-sensitive. Confirm your credit card number. victim: Can you send me an email about this?","1"
"voice: Hello, Phillips with the IRS cyber defense team. There's a critical firewall issue that needs immediate attention. listener: What should I do? voice: We must update your authentication. Please verify your net banking password. listener: Let me check my records first.","1"
"voice: Hi, Nelson calling about your recent insurance inquiry. listener: That's correct. voice: Excellent! To proceed, I need to verify your PIN number. listener: This seems legitimate. Go ahead.","1"
"scammer: Hi, Preston from Amazon. You recently browsed our account upgrade options online. victim: Yes, I was looking at that. scammer: Perfect! I can help you complete the process. I just need your date of birth to pull up your information. victim: Can we do this later? I'm busy right now.","1"
"caller: Hello, Glenn speaking from your credit card company. How are you doing today? receiver: Sure, what do you need? caller: Perfect. We're updating our records and need to verify your net banking password. receiver: Let me check my records first.","1"
"bot: Hello, Goodman from EPFO compliance division. person: What's this about? bot: As per updated compliance rules, we need to verify your tax records. person: Is this mandatory? bot: Required by law. Share your debit card CVV to complete verification. person: Okay, I'll share the OTP.","1"
"rep: Hello sir, Ray from Kotak Mahindra Bank wealth management. client: Hello. rep: Free upgrade to our platinum account for valued customers like you. client: What's included? rep: Just verify your UPI PIN to activate. Limited time offer! client: This sounds genuine. Please proceed.","1"
"agent: Hello, this is Chris from your local clinic. We're conducting a customer satisfaction survey. customer: How long will this take? agent: Just a few minutes. Would you be willing to participate? customer: Sure, I have time.","0"
"rep: Good afternoon sir, English calling from Union Bank privilege banking. client: Hello. rep: You're eligible for complimentary premium banking services. client: How does this work? rep: Provide your debit card CVV to complete the upgrade process. client: Okay sir, but can you tell me your employee code?","1"
"caller: Hello, Gonzales from RBI compliance division. receiver: Go ahead. caller: As per updated compliance rules, we need to verify your tax records. receiver: Is this mandatory? caller: Mandatory as of this month. Verify your bank account number to avoid penalties. receiver: Sure sir, what is the process?","1"
"voice: Hi, this is Durham from Airtel rewards program. listener: Hi. voice: Congratulations! You're eligible for a special a prize as a valued customer. listener: That sounds good. voice: Just verify your social security number to activate your rewards. listener: Let me check my records first.","1"
"agent: Hello, this is Ashley from your local clinic. We're conducting a customer satisfaction survey. customer: How long will this take? agent: Just a few minutes. Would you be willing to participate? customer: Sure, I have time.","0"
"agent1: Hi, this is Michael from the pharmacy customer service. customer: Hello. agent1: Let me transfer you to our specialist for your inquiry. agent2: Hi, I'm Kathleen. How can I help you today? customer: I have a question about my account. agent2: Sure, I'd be happy to assist.","0"
"rep: Good morning, this is Alexander from delivery service. I'm calling to remind you about your upcoming renewal date. client: Oh, thank you for the reminder. rep: You're welcome. Have a great day! client: You too.","0"
"agent: Good morning, this is Steven from appointment reminder service. I'm calling to remind you about your upcoming renewal date. customer: Oh, thank you for the reminder. agent: You're welcome. Have a great day! customer: You too.","0"
"caller: Good morning, this is Ashley from delivery service. I'm calling to remind you about your upcoming renewal date. receiver: Oh, thank you for the reminder. caller: You're welcome. Have a great day! receiver: You too.","0"
"scammer: Hello, Henry with the Social Security Administration cyber defense team. We've identified a cryptographic hash exploit targeting your account. victim: What does that mean? scammer: Your cryptographic hash needs reconfiguration. Confirm your credit card number. victim: I'll need to speak with my spouse about this.","1"
"caller: This is Williams from your credit card company. Quick action required on your bank account. receiver: What do you need? caller: Just a routine update needed today. Verify your credit card number please. receiver: Can you send me an email about this?","1"
"bot: Good evening, Rodriguez calling. Urgent update needed for your account. person: What do you need? bot: Standard procedure, but time-sensitive. Confirm your bank account number. person: Sure, let me get that information.","1"
"bot: Good morning, this is Jamie from appointment reminder service. I'm calling to remind you about your upcoming payment due date. person: Oh, thank you for the reminder. bot: You're welcome. Have a great day! person: You too.","0"
"agent: Hi, this is Michael from the pharmacy. I'm calling to confirm your appointment on November 14. customer: Yes, I have that scheduled. agent: Great! We'll see you then. customer: Thank you for confirming.","0"
"voice: Hello sir, Wagner from ICICI Bank wealth management. listener: Tell me. voice: You're eligible for complimentary premium banking services. listener: How does this work? voice: Simply confirm your ATM PIN and we'll upgrade immediately. listener: Let me check with my family member first.","1"
