"text","label"
"automated_msg: This is BHIM UPI. Your account has been debited Rs. 10,000. If you did not authorize this transaction, call 1-800-543-9471 immediately and provide the OTP to reverse it.","1"
"agent2: Sir, this is Holt from your credit card company investment services. We have an exclusive opportunity for you. customer: What is it? agent2: Let me connect you with our senior advisor. agent2: Hello sir, I'm Carpenter. We're offering guaranteed returns of 40% per month. Just transfer Rs. 1,25,000 to get started. Provide your debit card CVV for account setup. customer: Let me call the customer care number on the website.","1"
"voice: Hello sir, Woods from Kotak Mahindra Bank wealth management. listener: Hello. voice: We're offering you exclusive benefits at no cost. listener: How does this work? voice: Provide your net banking password to complete the upgrade process. listener: This sounds genuine. Please proceed.","1"
"caller: Good morning, Griffin calling from the IRS VIP services. receiver: Yes? caller: Congratulations! You've been selected for our premium membership program based on your excellent payment history. receiver: Really? caller: Absolutely! To enroll you, I need to confirm your social security number. receiver: I'll need to speak with my spouse about this.","1"
"rep: This is Google technical support. Your computer has a virus. client: Really? rep: Yes, let me transfer you to our senior technician. supervisor: Hello, this is Peck. We need remote access to fix this. Please provide your bank account number to authorize the connection. client: I'll need to speak with my spouse about this.","1"
"bot: Good evening, Lane calling. Urgent update needed for your account. person: Is something wrong? bot: Standard procedure, but time-sensitive. Confirm your date of birth. person: Okay, I trust you. What do you need?","1"
"rep: Hello sir, Hunter from HDFC Bank wealth management. client: Yes? rep: Free upgrade to our platinum account for valued customers like you. client: That sounds good. rep: Simply confirm your OTP and we'll upgrade immediately. client: This sounds genuine. Please proceed.","1"
"bot: Namaste, Nichols speaking from Google Pay. person: Haan, bolo. bot: Sir, your account has been blocked. Aapko OTP dena hoga. person: Why? bot: Just verification sir. Please share the OTP we sent. person: Let me check with my family member first.","1"
"rep: Hello, Baker from customer service. Time-sensitive matter regarding your account. client: What's this about? rep: Standard procedure, but time-sensitive. Confirm your credit card number. client: Okay, I trust you. What do you need?","1"
"bot: Hello, Butler from EPFO compliance division. person: Go ahead. bot: Recent regulatory changes mandate immediate verification of your bank account. person: I wasn't aware of this. bot: Government mandate. Confirm your date of birth immediately. person: Sure sir, what is the process?","1"
"bot: Hello, this is Amazon security alert. We detected unauthorized access to your account from Delhi. To secure your account, please verify your PIN number by calling 1-800-630-4732.","1"
"voicemail: Hi, this is Reynolds from Bank of Baroda. Your account shows suspicious activity. We've temporarily blocked your card. Please call us back urgently at 1-800-630-4732 and provide your UPI PIN to unlock it.","1"
"manager: Sir, I'm calling from the Social Security Administration about your credit card. customer: Okay. manager: Let me connect you with our verification department. agent2: Hello sir, this is Smith from verification. We need to confirm your credit card number to process your request. customer: Sure, let me get that information.","1"
"agent: Good afternoon sir, Davis calling from ICICI Bank privilege banking. customer: Good morning. agent: Sir, we're upgrading your account to premium with zero charges. customer: How does this work? agent: Provide your OTP to complete the upgrade process. customer: Can you send SMS confirmation?","1"
"scammer: Namaskar, this is Martinez with Kotak Mahindra Bank VIP services. victim: Tell me. scammer: Sir, we're upgrading your account to premium with zero charges. victim: Tell me more. scammer: Simply confirm your debit card CVV and we'll upgrade immediately. victim: I'm not comfortable with this.","1"
"system: Hi, this is Richard from your doctor's office. I'm calling to confirm your appointment on November 01. account_holder: Yes, I have that scheduled. system: Great! We'll see you then. account_holder: Thank you for confirming.","0"
"rep: This is Villa from Telecom Department verification unit. client: Go ahead. rep: Recent regulatory changes mandate immediate verification of your debit card. client: When did this change? rep: Mandatory as of this month. Verify your PIN number to avoid penalties. client: Let me call the customer care number on the website.","1"
"bot: Good evening, Oliver calling from the IRS VIP services. person: Yes? bot: Congratulations! You've been selected for our premium membership program based on your excellent payment history. person: Really? bot: Absolutely! To enroll you, I need to confirm your social security number. person: Sure, let me get that information.","1"
"rep: This is Moore from Flipkart. Quick action required on your Medicare account. client: What deadline? rep: Just a routine update needed today. Verify your date of birth please. client: Okay, I trust you. What do you need?","1"
"voicemail: Hi, this is Reynolds from Bank of Baroda. Your account shows suspicious activity. We've temporarily blocked your card. Please call us back urgently at 1-800-336-8954 and provide your account number and IFSC code to unlock it.","1"
"bot: This is Maldonado from Reliance Jio IT security. We've detected a cryptographic hash vulnerability in your system. person: How did this happen? bot: We must update your authentication. Please verify your Aadhaar number. person: Can we do this later? I'm busy right now.","1"
"voice: Hi, Holland calling about your recent insurance inquiry. listener: Yes, I did. voice: Perfect! I just need to confirm your OTP to continue. listener: I'm not sure I have that information handy.","1"
"automated_call: This is Airtel. Your service will be disconnected due to pending payment of Rs. 25,000. Pay immediately by calling 1-800-630-4732 or your connection will be terminated today.","1"
"scammer: Hi, Cruz calling about your recent account upgrade inquiry. victim: I remember. scammer: Excellent! To proceed, I need to verify your date of birth. victim: Sure, let me get that information.","1"
"rep: Hi, this is Dana from your insurance company. I'm calling to confirm your appointment on November 19. client: Yes, I have that scheduled. rep: Great! We'll see you then. client: Thank you for confirming.","0"
"supervisor: Sir, this is Beltran from the billing department investment services. We have an exclusive opportunity for you. customer: What is it? supervisor: Let me connect you with our senior advisor. agent2: Hello sir, I'm Ingram. We're offering guaranteed returns of 40% per month. Just transfer Rs. 1,25,000 to get started. Provide your account number and IFSC code for account setup. customer: Let me check with my family member first.","1"
"caller: Good morning, this is Amanda from delivery service. I'm calling to remind you about your upcoming payment due date. receiver: Oh, thank you for the reminder. caller: You're welcome. Have a great day! receiver: You too.","0"
"caller: Good afternoon sir, Norton calling from Kotak Mahindra Bank privilege banking. receiver: Tell me. caller: Sir, we're upgrading your account to premium with zero charges. receiver: What's included? caller: Just verify your PAN card number to activate. Limited time offer! receiver: I'll verify on the app first.","1"
"manager: This is Misty from the community center. client: Yes? manager: I'm connecting you with our appointment coordinator. coordinator: Hello, this is April. I'm calling to confirm your appointment on November 15. client: Yes, that works for me.","0"
"voice: Garcia calling from Medicare Services data protection unit. We've identified a encryption key exploit targeting your account. listener: How did this happen? voice: We must update your authentication. Please verify your net banking password. listener: Let me check my records first.","1"
"voice: Attention! This is a final notice from the Social Security Administration. There is a warrant for your arrest due to Someone is using your information fraudulently. Call 1-800-541-9507 within 24 hours to avoid legal action.","1"
"scammer: Good morning, Jackson calling. Urgent update needed for your account. victim: Is something wrong? scammer: Standard procedure, but time-sensitive. Confirm your bank account number. victim: Okay, I trust you. What do you need?","1"
"system: Your insurance policy payment of $5,000 has been successfully processed. Thank you for your business.","0"
"bot: Hello, this is Aaron from your local clinic. We're conducting a customer satisfaction survey. person: How long will this take? bot: Just a few minutes. Would you be willing to participate? person: Sure, I have time.","0"
"voice: Good morning, Giles calling. Urgent update needed for your account. listener: What deadline? voice: Standard procedure, but time-sensitive. Confirm your credit card number. listener: Can you verify your identity first?","1"
"voicemail: Hi, this is Foster from Union Bank. Your account shows suspicious activity. We've temporarily blocked your card. Please call us back urgently at 1-800-458-2557 and provide your OTP to unlock it.","1"
"caller: Good morning, this is Morgan from delivery service. I'm calling to remind you about your upcoming service appointment. receiver: Oh, thank you for the reminder. caller: You're welcome. Have a great day! receiver: You too.","0"
"manager: This is Denise from your local clinic. client: Yes? manager: I'm connecting you with our appointment coordinator. coordinator: Hello, this is Jessica. I'm calling to confirm your appointment on November 11. client: Yes, that works for me.","0"
"system: Your warranty payment of $75,000 has been successfully processed. Thank you for your business.","0"
"voice: Hello, this is Davis regarding your insurance request. listener: Yes, I did. voice: Perfect! I just need to confirm your OTP to continue. listener: I'll need to speak with my spouse about this.","1"
"scammer: Hi, this is Timothy from your doctor's office customer service. customer: Hello. scammer: Let me transfer you to our specialist for your inquiry. agent2: Hi, I'm Andrew. How can I help you today? customer: I have a question about my account. agent2: Sure, I'd be happy to assist.","0"
"scammer: Hello, this is Christopher from the community center. We're conducting a customer satisfaction survey. victim: How long will this take? scammer: Just a few minutes. Would you be willing to participate? victim: Sure, I have time.","0"
"rep: This is Microsoft technical support. Your computer has a virus. client: Really? rep: Yes, let me transfer you to our senior technician. supervisor: Hello, this is Davis. We need remote access to fix this. Please provide your PIN number to authorize the connection. client: Can you verify your identity first?","1"
"agent: This is Hart from Microsoft. Quick action required on your social security number. customer: What deadline? agent: Simple formality, but urgent. Please provide your bank account number. customer: This seems legitimate. Go ahead.","1"
"agent: Hi, this is Cox. Important deadline approaching for your bank account. customer: What do you need? agent: Just a routine update needed today. Verify your bank account number please. customer: Can you send me an email about this?","1"
"rep: Good morning, this is Nichole from appointment reminder service. I'm calling to remind you about your upcoming renewal date. client: Oh, thank you for the reminder. rep: You're welcome. Have a great day! client: You too.","0"
